hinglish,english
badir,idiot
badirchand,idiot
bakland,idiot
bhadva,pimp
bhootnika,son of a witch
chinaal,whore
chup,shut up
chutia,fucker 
ghasti,hooker
chutiya,fucker
haraami,bastard
haraam,bastard
hijra,transsexual 
hinjda,transsexual 
jaanvar,animal
kutta,dog
kutiya,bitch
khota,donkey
auladheen,sonless
jaat,breed
najayaz,illegitimate
gandpaidaish,badborn
saala,sisters husband
kutti,bitch
soover,swine
tatti,shit
potty,shit
bahenchod,sister fucker
bhenchod,sister fucker
behenchod,sister fucker
bahanchod,sister fucker
bahencho,sister fucker
bancho,sister fucker
bahenke,sisters 
laude,dick
takke,balls
betichod,daughter fucker
bhaichod,brother fucker
bhains,buffalo
jhalla,faggot
jhant,pubic
nabaal,hairless
pissu,bug
kutte,dog
maadherchod,mother fucker
madarchod,motherfucker
padma,fat bitch
raand,whore
jamai,son-in-law
randwa,male prostitute
randi,hooker
bachachod,son fucker
bachichod,daughter fucker
soower,swine
bachchechod,children fucker
ullu,idiot
pathe,idiot
banda,semi-dick
booblay,boobs
booby,boobs
buble,boobs
babla,boobs
bhonsriwala,fucker
bhonsdiwala,fucker
ched,pussy
chut,pussy
chod,fuck
chodu,fucker
chodra,fucker
choochi,boobs
chuchi,boobs
gaandu,asshole
gandu,asshole
gaand,ass
lavda, dick 
lawda,dick
lauda,dick
lund , dick
balchod,hair fucker
lavander,dick head
muth,masturbate 
maacho,mother fucker
mammey,boobs
tatte,boobs
toto,penis
toota,broken
backar,gossip
bhandwe,pimp
bhosadchod,ass fucker
bhosad,pussy
bumchod,ass fucker
bum,ass
bur,pussy
chatani,ketchup
cunt,pussy
cuntmama,pussy
chipkali,lizzard
pasine,sweat
jhaat,cunt
chodela,fucked up
bhagatchod,saint fucker
chhola,clit
chudai,fucking
chudaikhana,whore house
chunni,clit
choot,pussy
bhoot,ghost
dhakkan,idiot
bhajiye,snack
fateychu,torn pussy
gandnatije,Bad result
lundtopi,condom
gaandu,ass
gaandfat,ass
gaandmasti,ass
makhanchudai,fucking
gaandmarau,ass fuck
gandu,faggot
chaatu,licker
beej,semen
choosu,sucker
fakeerchod,saint fucker
lundoos,dick
shorba,semen
binbheja,brainless
bhadwe,pimp
parichod,angel fucker
nirodh,condom.
pucchi,pussy
baajer,fucker
choud,fuck
bhosda,pussy
sadi,stinking
choos,suck
maka,mothers
chinaal,prostitute
gadde,boobs
joon,bug
chullugand,handful dirt
doob,drown
khatmal,bug
gandkate,ass
bambu,bamboo
lassan,garlic
danda,stick
keera,bug
keeda,bug
hazaarchu,thousand pussy
paidaishikeeda,born bug
kali,nigger
safaid,american
poot,son
behendi,sister
chus,sucker
machudi,mother fucker
chodoonga,fuck
baapchu,father pussy
laltern,lantern
suhaagchudai,wedding fuck
raatchuda,night fuck
kaalu,migga
neech,low caste
chikna,gay
meetha,gay
beechka,gay
chooche,boobs
patichod,husband
rundi,prostitute
makkhi,fly
biwichod,wife fucker
chodhunga,fuck
haathi,elephant
kute,dog
jhanten,pubic hair
kaat,cut
gandi,filthy
gadha,donkey
bimaar,ill
badboodar,smelly
dum,tail
raandsaala,sisters brother pimp
phudi,pussy
chute,pussy
kussi,ass
khandanchod,family fucker
ghussa,fuck
maarey,dead
chipkili,lizard
unday,eggs
budh,cunt
chaarpai,cot
chodun,fuck
chatri,condom
chode,fuck
chodho,fuck
mullekatue,Derogatory abuse to muslims
mullikatui,Derogatory Abuse to female muslim
mullekebaal,Derogatory Abuse to muslim
momedankatue,Derogatory Abuse to muslim
katua,dick cut
chutiyapa,fuck all
bc,sister fucker
mc,mother fucker
chudwaya,fuck
kutton,dog
jungli,wild
vahiyaat,disgusting
jihadi,terrorist
atankvadi,terrorist
atankwadi,terrorist
aatanki,terorist
